"","AQSID","Param","Site_code","site_name","status","AgencyID","Agency_name","EPA_reg","lat","long","elev","GMT_offset","country","MSA_code","MSA_name","state_code","state_name","county_code","county_name"
"9920","390350060","NO2","0060","GT Craig NCore PAMS","Active","OH1","Ohio EPA-DAPC","R5",41.492191,-81.678552,298.9,-5,"US",17460," Cleveland-Elyria-Mentor, OH ","39","OH","035","CUYAHOGA"
"9921","390350060","CO","0060","GT Craig NCore PAMS","Active","OH1","Ohio EPA-DAPC","R5",41.492191,-81.678552,298.9,-5,"US",17460," Cleveland-Elyria-Mentor, OH ","39","OH","035","CUYAHOGA"
"9922","023206270","NO","6270","JPN Site 023206270","Active","MOE","Japan Ministry of Environment","",35.258501,136.957043,0,9,"",NA,"","na","N/A","N/A","N/A"
"9923","027210020","SO2","0020","JPN Site 027210020","Active","MOE","Japan Ministry of Environment","",34.821303,135.703001,0,9,"",NA,"","na","N/A","N/A","N/A"
"9924","027210020","WS","0020","JPN Site 027210020","Active","MOE","Japan Ministry of Environment","",34.821303,135.703001,0,9,"",NA,"","na","N/A","N/A","N/A"
"9925","027210020","WD","0020","JPN Site 027210020","Active","MOE","Japan Ministry of Environment","",34.821303,135.703001,0,9,"",NA,"","na","N/A","N/A","N/A"
"9926","027210020","NOX","0020","JPN Site 027210020","Active","MOE","Japan Ministry of Environment","",34.821303,135.703001,0,9,"",NA,"","na","N/A","N/A","N/A"
"9927","027210020","NO","0020","JPN Site 027210020","Active","MOE","Japan Ministry of Environment","",34.821303,135.703001,0,9,"",NA,"","na","N/A","N/A","N/A"
"9928","028108510","CO","8510","JPN Site 028108510","Active","MOE","Japan Ministry of Environment","",34.628535,135.060563,0,9,"",NA,"","na","N/A","N/A","N/A"
"9929","028108510","NOX","8510","JPN Site 028108510","Active","MOE","Japan Ministry of Environment","",34.628535,135.060563,0,9,"",NA,"","na","N/A","N/A","N/A"
"9930","028108510","NO","8510","JPN Site 028108510","Active","MOE","Japan Ministry of Environment","",34.628535,135.060563,0,9,"",NA,"","na","N/A","N/A","N/A"
"9931","028210050","WS","0050","JPN Site 028210050","Active","MOE","Japan Ministry of Environment","",34.792958,134.832519,0,9,"",NA,"","na","N/A","N/A","N/A"
"9932","028210050","WD","0050","JPN Site 028210050","Active","MOE","Japan Ministry of Environment","",34.792958,134.832519,0,9,"",NA,"","na","N/A","N/A","N/A"
"9933","028210050","NOX","0050","JPN Site 028210050","Active","MOE","Japan Ministry of Environment","",34.792958,134.832519,0,9,"",NA,"","na","N/A","N/A","N/A"
"9934","028210050","NO","0050","JPN Site 028210050","Active","MOE","Japan Ministry of Environment","",34.792958,134.832519,0,9,"",NA,"","na","N/A","N/A","N/A"
"9935","000054703","PM2.5","4703","B cancour","Active","QC1","Canada-Quebec1","CA",46.35,-72.4333,7.9,-5,"CA",NA,"","00","CC","005","QUEBEC"
